,DateTime,Close,Open,High
0,2022-12-27 22:15:00,1.06425,1.06375,1.06425
1,2022-12-27 22:16:00,1.0642,1.06425,1.06425
2,2022-12-27 22:17:00,1.0642,1.0642,1.0642
3,2022-12-27 22:18:00,1.0642,1.0642,1.0642
4,2022-12-27 22:19:00,1.06425,1.0642,1.06425
5,2022-12-27 22:20:00,1.06425,1.06425,1.06425
6,2022-12-27 22:21:00,1.06425,1.06425,1.06425
7,2022-12-27 22:22:00,1.06425,1.06425,1.06425
8,2022-12-27 22:23:00,1.06425,1.06425,1.06425
9,2022-12-27 22:24:00,1.06415,1.06425,1.06425
10,2022-12-27 22:25:00,1.06415,1.06415,1.06415
11,2022-12-27 22:26:00,1.06415,1.06415,1.06415
12,2022-12-27 22:27:00,1.06415,1.06415,1.06415
13,2022-12-27 22:28:00,1.0642,1.06415,1.06425
14,2022-12-27 22:29:00,1.06425,1.0642,1.06425
15,2022-12-27 22:30:00,1.06415,1.06425,1.06425
16,2022-12-27 22:31:00,1.064,1.06415,1.06415
17,2022-12-27 22:32:00,1.06395,1.064,1.064
18,2022-12-27 22:33:00,1.064,1.06395,1.064
19,2022-12-27 22:34:00,1.064,1.064,1.064
20,2022-12-27 22:35:00,1.064,1.064,1.06405
21,2022-12-27 22:36:00,1.06405,1.064,1.06405
22,2022-12-27 22:37:00,1.06405,1.06405,1.06405
23,2022-12-27 22:38:00,1.06405,1.06405,1.06405
24,2022-12-27 22:39:00,1.06405,1.06405,1.06405
25,2022-12-27 22:40:00,1.06405,1.06405,1.06405
26,2022-12-27 22:41:00,1.0641,1.06405,1.0641
27,2022-12-27 22:42:00,1.0641,1.0641,1.06415
28,2022-12-27 22:43:00,1.06415,1.0641,1.06415
29,2022-12-27 22:44:00,1.06415,1.06415,1.06415
30,2022-12-27 22:45:00,1.06415,1.06415,1.06415
31,2022-12-27 22:46:00,1.06415,1.06415,1.06415
32,2022-12-27 22:47:00,1.06415,1.06415,1.06415
33,2022-12-27 22:48:00,1.0642,1.06415,1.0642
34,2022-12-27 22:49:00,1.0642,1.0642,1.0642
35,2022-12-27 22:50:00,1.0642,1.0642,1.0642
36,2022-12-27 22:51:00,1.0642,1.0642,1.0642
37,2022-12-27 22:52:00,1.0642,1.0642,1.0642
38,2022-12-27 22:53:00,1.0642,1.0642,1.0642
39,2022-12-27 22:54:00,1.0642,1.0642,1.0642
40,2022-12-27 22:55:00,1.0642,1.0642,1.0642
41,2022-12-27 22:56:00,1.0642,1.0642,1.0642
42,2022-12-27 22:57:00,1.0642,1.0642,1.0642
43,2022-12-27 22:58:00,1.0642,1.0642,1.0642
44,2022-12-27 22:59:00,1.06415,1.0642,1.0642
45,2022-12-27 23:00:00,1.06395,1.06415,1.06415
46,2022-12-27 23:01:00,1.0638,1.06395,1.064
47,2022-12-27 23:02:00,1.0638,1.0638,1.06385
48,2022-12-27 23:03:00,1.06375,1.0638,1.06385
49,2022-12-27 23:04:00,1.06375,1.06375,1.0638
50,2022-12-27 23:05:00,1.0638,1.06375,1.0638
